Field1,Field2,nope,Field4
jlo,ricky_martin,yup,yup
jlo,shugairi,nope,nope
jlo,xtina,yup,nope
jlo,agnezmo,nope,yup
jlo,reuters,nope,nope
jlo,priyankachopra,nope,nope
jlo,twitterespanol,nope,nope
jlo,ihrithik,nope,nope
jlo,akshaykumar,nope,nope
jlo,jimcarrey,nope,nope
jlo,kdtrey5,nope,yup
jlo,ryanseacrest,yup,yup
jlo,ivetesangalo,nope,yup
jlo,pmoindia,nope,nope
jlo,snoopdogg,yup,yup
oprah,katyperry,nope,nope
oprah,justinbieber,nope,yup
oprah,taylorswift13,nope,nope
oprah,rihanna,yup,nope
oprah,youtube,nope,yup
oprah,ladygaga,yup,nope
oprah,theellenshow,yup,yup
oprah,twitter,nope,nope
oprah,jtimberlake,yup,yup
oprah,britneyspears,nope,nope
oprah,selenagomez,nope,nope
oprah,cnnbrk,nope,nope
oprah,jimmyfallon,yup,yup
oprah,shakira,nope,yup
oprah,ddlovato,nope,nope
oprah,instagram,nope,nope
oprah,nytimes,nope,nope
oprah,onedirection,nope,nope
oprah,sportscenter,nope,nope
oprah,espn,nope,nope
oprah,pink,nope,nope
oprah,wizkhalifa,nope,nope
oprah,kanyewest,nope,nope
oprah,neymarjr,nope,nope
oprah,narendramodi,nope,nope
oprah,danieltosh,nope,nope
oprah,aliciakeys,yup,yup
oprah,srbachchan,nope,yup
oprah,pitbull,nope,nope
oprah,khloekardashian,nope,nope
oprah,iamsrk,nope,nope
oprah,kourtneykardash,nope,yup
oprah,realmadrid,nope,nope
oprah,davidguetta,nope,nope
oprah,zaynmalik,nope,nope
oprah,aamir_khan,nope,nope
oprah,chrisbrown,nope,nope
oprah,blakeshelton,nope,nope
oprah,coldplay,nope,nope
oprah,realdonaldtrump,nope,nope
oprah,theeconomist,nope,nope
oprah,aplusk,yup,yup
oprah,vine,nope,nope
oprah,deepikapadukone,nope,nope
oprah,edsheeran,nope,nope
oprah,ricky_martin,nope,yup
oprah,shugairi,nope,yup
oprah,xtina,nope,nope
oprah,agnezmo,nope,yup
oprah,reuters,nope,nope
oprah,priyankachopra,nope,yup
oprah,twitterespanol,nope,nope
oprah,ihrithik,nope,nope
oprah,akshaykumar,nope,nope
oprah,ryanseacrest,nope,yup
oprah,ivetesangalo,nope,nope
oprah,pmoindia,nope,nope
oprah,snoopdogg,nope,yup
drake,katyperry,nope,yup
drake,justinbieber,yup,yup
drake,taylorswift13,yup,yup
drake,rihanna,yup,yup
drake,youtube,nope,nope
drake,ladygaga,nope,nope
drake,theellenshow,nope,yup
drake,twitter,nope,nope
drake,jtimberlake,yup,yup
drake,britneyspears,yup,yup
drake,kimkardashian,yup,nope
drake,selenagomez,yup,nope
drake,cnnbrk,nope,nope
drake,jimmyfallon,nope,yup
drake,shakira,nope,nope
drake,ddlovato,nope,nope
drake,instagram,nope,nope
drake,jlo,yup,nope
drake,oprah,yup,nope
drake,kingjames,yup,yup
drake,nytimes,nope,nope
drake,kevinhart4real,yup,yup
drake,onedirection,nope,nope
drake,mileycyrus,nope,nope
drake,sportscenter,nope,yup
drake,espn,nope,nope
drake,harry_styles,nope,nope
drake,pink,nope,nope
drake,liltunechi,yup,yup
drake,wizkhalifa,yup,yup
drake,niallofficial,nope,yup
drake,kanyewest,yup,nope
drake,neymarjr,nope,nope
drake,kaka,nope,nope
drake,narendramodi,nope,nope
drake,danieltosh,nope,nope
drake,aliciakeys,yup,nope
drake,srbachchan,nope,nope
drake,nba,nope,yup
drake,liampayne,nope,yup
drake,louis_tomlinson,nope,yup
drake,emmawatson,nope,nope
drake,pitbull,nope,yup
drake,khloekardashian,nope,yup
drake,iamsrk,nope,nope
drake,kourtneykardash,nope,nope
drake,realmadrid,nope,nope
drake,davidguetta,nope,nope
drake,nfl,nope,yup
drake,eminem,yup,nope
drake,nasa,nope,nope
drake,nickiminaj,yup,yup
drake,kendalljenner,nope,yup
drake,zaynmalik,nope,yup
drake,aamir_khan,nope,nope
drake,fcbarcelona,nope,nope
drake,kyliejenner,yup,yup
drake,chrisbrown,nope,nope
drake,blakeshelton,nope,nope
drake,coldplay,nope,nope
drake,realdonaldtrump,nope,nope
drake,theeconomist,nope,nope
drake,aplusk,yup,nope
drake,mariahcarey,nope,nope
drake,vine,nope,nope
drake,deepikapadukone,nope,nope
drake,leodicaprio,nope,nope
drake,google,nope,nope
drake,edsheeran,nope,yup
drake,mohamadalarefe,nope,nope
drake,ricky_martin,nope,nope
drake,shugairi,nope,nope
drake,xtina,nope,nope
drake,agnezmo,nope,yup
drake,reuters,nope,nope
drake,priyankachopra,nope,nope
drake,twitterespanol,nope,nope
drake,ihrithik,nope,nope
drake,akshaykumar,nope,nope
drake,jimcarrey,nope,nope
drake,kdtrey5,yup,yup
drake,ryanseacrest,nope,yup
drake,ivetesangalo,nope,nope
drake,pmoindia,nope,nope
drake,snoopdogg,nope,yup
kingjames,katyperry,nope,nope
kingjames,justinbieber,nope,yup
kingjames,taylorswift13,nope,nope
kingjames,rihanna,nope,yup
kingjames,youtube,nope,nope
kingjames,ladygaga,nope,nope
kingjames,theellenshow,yup,yup
kingjames,twitter,nope,nope
kingjames,jtimberlake,nope,yup
kingjames,britneyspears,nope,nope
kingjames,selenagomez,nope,nope
kingjames,cnnbrk,nope,nope
kingjames,jimmyfallon,nope,yup
kingjames,shakira,nope,nope
kingjames,ddlovato,nope,nope
kingjames,instagram,yup,nope
kingjames,oprah,nope,yup
kingjames,nytimes,nope,nope
kingjames,onedirection,nope,nope
kingjames,mileycyrus,nope,nope
kingjames,sportscenter,nope,yup
kingjames,espn,nope,yup
kingjames,pink,nope,nope
kingjames,liltunechi,nope,nope
kingjames,wizkhalifa,nope,nope
kingjames,niallofficial,nope,nope
kingjames,kanyewest,nope,nope
kingjames,neymarjr,nope,nope
kingjames,narendramodi,nope,nope
kingjames,danieltosh,nope,yup
kingjames,aliciakeys,nope,nope
kingjames,srbachchan,nope,nope
kingjames,nba,yup,yup
kingjames,liampayne,nope,nope
kingjames,louis_tomlinson,nope,nope
kingjames,pitbull,nope,yup
kingjames,khloekardashian,nope,nope
kingjames,iamsrk,nope,nope
kingjames,kourtneykardash,nope,nope
kingjames,realmadrid,nope,nope
kingjames,davidguetta,nope,nope
kingjames,nfl,nope,yup
kingjames,nasa,nope,nope
kingjames,nickiminaj,yup,yup
kingjames,zaynmalik,nope,nope
kingjames,aamir_khan,nope,nope
kingjames,kyliejenner,nope,nope
kingjames,chrisbrown,nope,nope
kingjames,blakeshelton,nope,nope
kingjames,coldplay,nope,nope
kingjames,realdonaldtrump,nope,nope
kingjames,theeconomist,nope,nope
kingjames,aplusk,nope,yup
kingjames,mariahcarey,nope,nope
kingjames,vine,nope,nope
kingjames,deepikapadukone,nope,nope
kingjames,leodicaprio,nope,nope
kingjames,edsheeran,nope,nope
kingjames,mohamadalarefe,nope,nope
kingjames,ricky_martin,nope,nope
kingjames,shugairi,nope,nope
kingjames,xtina,nope,nope
kingjames,agnezmo,nope,yup
kingjames,reuters,nope,nope
kingjames,priyankachopra,nope,nope
kingjames,twitterespanol,nope,nope
kingjames,ihrithik,nope,nope
kingjames,akshaykumar,nope,nope
kingjames,ryanseacrest,nope,yup
kingjames,ivetesangalo,nope,nope
kingjames,pmoindia,nope,nope
kingjames,snoopdogg,nope,yup
billgates,katyperry,nope,nope
billgates,justinbieber,nope,yup
billgates,taylorswift13,nope,nope
billgates,rihanna,nope,nope
billgates,youtube,nope,yup
billgates,ladygaga,nope,nope
billgates,theellenshow,nope,yup
billgates,twitter,nope,nope
billgates,jtimberlake,nope,nope
billgates,britneyspears,nope,nope
billgates,kimkardashian,nope,nope
billgates,cristiano,nope,nope
billgates,selenagomez,nope,nope
billgates,cnnbrk,nope,nope
billgates,jimmyfallon,nope,yup
billgates,shakira,nope,nope
billgates,ddlovato,nope,nope
billgates,instagram,nope,nope
billgates,jlo,nope,nope
billgates,oprah,nope,nope
billgates,drake,nope,nope
billgates,kingjames,nope,nope
billgates,nytimes,yup,nope
billgates,kevinhart4real,nope,nope
billgates,onedirection,nope,nope
billgates,mileycyrus,nope,nope
billgates,sportscenter,nope,nope
billgates,cnn,nope,nope
billgates,espn,nope,nope
billgates,harry_styles,nope,nope
billgates,pink,nope,nope
billgates,liltunechi,nope,nope
billgates,wizkhalifa,nope,nope
billgates,niallofficial,nope,nope
billgates,brunomars,nope,nope
billgates,kanyewest,nope,nope
billgates,neymarjr,nope,nope
billgates,kaka,nope,yup
billgates,narendramodi,yup,yup
billgates,danieltosh,nope,nope
billgates,aliciakeys,nope,nope
billgates,srbachchan,yup,yup
billgates,nba,nope,yup
billgates,liampayne,nope,nope
billgates,louis_tomlinson,nope,nope
billgates,emmawatson,nope,nope
billgates,pitbull,nope,yup
billgates,khloekardashian,nope,nope
billgates,iamsrk,nope,nope
billgates,conanobrien,nope,nope
billgates,kourtneykardash,nope,nope
billgates,realmadrid,nope,nope
billgates,davidguetta,nope,nope
billgates,nfl,nope,yup
billgates,eminem,nope,nope
billgates,nasa,nope,nope
billgates,nickiminaj,nope,nope
billgates,kendalljenner,nope,nope
billgates,zaynmalik,nope,nope
billgates,aamir_khan,nope,nope
billgates,fcbarcelona,nope,nope
billgates,kyliejenner,nope,nope
billgates,chrisbrown,nope,nope
billgates,blakeshelton,nope,nope
billgates,coldplay,nope,nope
billgates,realdonaldtrump,nope,nope
billgates,theeconomist,yup,yup
billgates,aplusk,yup,yup
billgates,mariahcarey,nope,nope
billgates,vine,nope,nope
billgates,deepikapadukone,nope,yup
billgates,leodicaprio,yup,nope
billgates,google,nope,nope
billgates,edsheeran,nope,nope
billgates,mohamadalarefe,nope,nope
billgates,ricky_martin,nope,nope
billgates,shugairi,nope,yup
billgates,xtina,nope,nope
billgates,agnezmo,nope,nope
billgates,reuters,nope,yup
billgates,priyankachopra,nope,nope
billgates,twitterespanol,nope,nope
billgates,ihrithik,nope,nope
billgates,akshaykumar,nope,nope
billgates,jimcarrey,nope,nope
billgates,kdtrey5,nope,yup
billgates,ryanseacrest,yup,yup
billgates,ivetesangalo,nope,nope
billgates,pmoindia,nope,nope
billgates,snoopdogg,nope,nope
nytimes,taylorswift13,nope,nope
nytimes,rihanna,nope,nope
nytimes,twitter,nope,nope
nytimes,selenagomez,nope,nope
nytimes,shakira,nope,nope
nytimes,onedirection,nope,nope
nytimes,wizkhalifa,nope,nope
nytimes,pitbull,nope,nope
nytimes,realmadrid,nope,nope
nytimes,zaynmalik,nope,nope
nytimes,realdonaldtrump,nope,nope
nytimes,vine,nope,nope
nytimes,ricky_martin,nope,yup
nytimes,shugairi,nope,nope
nytimes,xtina,nope,nope
nytimes,priyankachopra,nope,nope
kevinhart4real,katyperry,yup,nope
kevinhart4real,justinbieber,yup,yup
kevinhart4real,taylorswift13,nope,nope
kevinhart4real,rihanna,yup,yup
kevinhart4real,youtube,yup,nope
kevinhart4real,ladygaga,nope,nope
kevinhart4real,theellenshow,yup,yup
kevinhart4real,twitter,nope,nope
kevinhart4real,jtimberlake,yup,nope
kevinhart4real,britneyspears,nope,nope
kevinhart4real,kimkardashian,yup,nope
kevinhart4real,selenagomez,nope,nope
kevinhart4real,cnnbrk,nope,nope
kevinhart4real,jimmyfallon,yup,yup
kevinhart4real,shakira,nope,nope
kevinhart4real,ddlovato,nope,nope
kevinhart4real,instagram,nope,nope
kevinhart4real,oprah,yup,yup
kevinhart4real,kingjames,yup,yup
kevinhart4real,nytimes,nope,nope
kevinhart4real,onedirection,nope,nope
kevinhart4real,mileycyrus,nope,nope
kevinhart4real,sportscenter,yup,nope
kevinhart4real,espn,nope,nope
kevinhart4real,pink,nope,nope
kevinhart4real,liltunechi,yup,nope
kevinhart4real,wizkhalifa,nope,nope
kevinhart4real,niallofficial,yup,yup
kevinhart4real,kanyewest,yup,nope
kevinhart4real,neymarjr,nope,nope
kevinhart4real,narendramodi,nope,nope
kevinhart4real,danieltosh,yup,yup
kevinhart4real,aliciakeys,yup,nope
kevinhart4real,srbachchan,nope,nope
kevinhart4real,nba,yup,yup
kevinhart4real,liampayne,nope,nope
kevinhart4real,louis_tomlinson,nope,nope
kevinhart4real,pitbull,nope,nope
kevinhart4real,khloekardashian,yup,yup
kevinhart4real,iamsrk,nope,nope
kevinhart4real,kourtneykardash,nope,nope
kevinhart4real,realmadrid,nope,nope
kevinhart4real,davidguetta,nope,nope
kevinhart4real,nfl,yup,yup
kevinhart4real,nasa,nope,nope
kevinhart4real,nickiminaj,yup,yup
kevinhart4real,zaynmalik,nope,nope
kevinhart4real,aamir_khan,nope,nope
kevinhart4real,kyliejenner,nope,nope
kevinhart4real,chrisbrown,yup,nope
kevinhart4real,blakeshelton,nope,nope
kevinhart4real,coldplay,nope,nope
kevinhart4real,realdonaldtrump,nope,nope
kevinhart4real,theeconomist,nope,nope
kevinhart4real,aplusk,nope,nope
kevinhart4real,mariahcarey,yup,nope
kevinhart4real,vine,nope,nope
kevinhart4real,deepikapadukone,nope,nope
kevinhart4real,leodicaprio,nope,nope
kevinhart4real,edsheeran,nope,nope
kevinhart4real,mohamadalarefe,nope,nope
kevinhart4real,ricky_martin,nope,nope
kevinhart4real,shugairi,nope,nope
kevinhart4real,xtina,nope,nope
kevinhart4real,agnezmo,nope,yup
kevinhart4real,reuters,nope,nope
kevinhart4real,priyankachopra,nope,nope
kevinhart4real,twitterespanol,nope,nope
kevinhart4real,ihrithik,nope,nope
kevinhart4real,akshaykumar,nope,nope
kevinhart4real,ryanseacrest,yup,nope
kevinhart4real,ivetesangalo,nope,nope
kevinhart4real,pmoindia,nope,nope
kevinhart4real,snoopdogg,yup,yup
onedirection,taylorswift13,nope,nope
onedirection,rihanna,nope,nope
onedirection,twitter,nope,nope
onedirection,selenagomez,nope,nope
onedirection,shakira,nope,nope
onedirection,wizkhalifa,nope,nope
onedirection,pitbull,nope,nope
onedirection,realmadrid,nope,nope
onedirection,zaynmalik,yup,yup
onedirection,realdonaldtrump,nope,nope
onedirection,vine,nope,nope
onedirection,ricky_martin,nope,nope
onedirection,shugairi,nope,nope
onedirection,xtina,nope,nope
onedirection,priyankachopra,nope,nope
mileycyrus,katyperry,yup,yup
mileycyrus,justinbieber,yup,yup
mileycyrus,taylorswift13,nope,nope
mileycyrus,rihanna,nope,nope
mileycyrus,youtube,nope,yup
mileycyrus,ladygaga,yup,nope
mileycyrus,theellenshow,yup,yup
mileycyrus,twitter,nope,nope
mileycyrus,jtimberlake,nope,nope
mileycyrus,britneyspears,yup,yup
mileycyrus,selenagomez,nope,nope
mileycyrus,cnnbrk,yup,nope
mileycyrus,jimmyfallon,yup,yup
mileycyrus,shakira,nope,nope
mileycyrus,ddlovato,nope,nope
mileycyrus,instagram,nope,nope
mileycyrus,oprah,nope,nope
mileycyrus,nytimes,nope,nope
mileycyrus,onedirection,nope,nope
mileycyrus,sportscenter,nope,nope
mileycyrus,espn,nope,nope
mileycyrus,pink,nope,nope
mileycyrus,wizkhalifa,yup,yup
mileycyrus,niallofficial,nope,nope
mileycyrus,kanyewest,nope,nope
mileycyrus,neymarjr,nope,nope
mileycyrus,narendramodi,nope,nope
mileycyrus,danieltosh,nope,nope
mileycyrus,aliciakeys,yup,yup
mileycyrus,srbachchan,nope,nope
mileycyrus,nba,nope,nope
mileycyrus,pitbull,nope,nope
mileycyrus,khloekardashian,yup,yup
mileycyrus,iamsrk,nope,nope
mileycyrus,kourtneykardash,nope,nope
mileycyrus,realmadrid,nope,nope
mileycyrus,davidguetta,nope,yup
mileycyrus,nfl,nope,nope
mileycyrus,nasa,nope,nope
mileycyrus,nickiminaj,yup,yup
mileycyrus,zaynmalik,nope,yup
mileycyrus,aamir_khan,nope,nope
mileycyrus,chrisbrown,nope,nope
mileycyrus,blakeshelton,yup,yup
mileycyrus,coldplay,nope,nope
mileycyrus,realdonaldtrump,nope,nope
mileycyrus,theeconomist,nope,nope
mileycyrus,aplusk,yup,yup
mileycyrus,vine,nope,nope
mileycyrus,deepikapadukone,nope,nope
mileycyrus,edsheeran,nope,nope
mileycyrus,mohamadalarefe,nope,nope
mileycyrus,ricky_martin,nope,nope
mileycyrus,shugairi,nope,nope
mileycyrus,xtina,nope,nope
mileycyrus,agnezmo,nope,yup
mileycyrus,reuters,nope,nope
mileycyrus,priyankachopra,nope,nope
mileycyrus,twitterespanol,nope,nope
mileycyrus,ihrithik,nope,nope
mileycyrus,akshaykumar,nope,nope
mileycyrus,ryanseacrest,yup,yup
mileycyrus,ivetesangalo,nope,nope
mileycyrus,pmoindia,nope,nope
mileycyrus,snoopdogg,yup,yup
sportscenter,katyperry,yup,nope
sportscenter,justinbieber,nope,yup
sportscenter,taylorswift13,nope,nope
sportscenter,rihanna,yup,yup
sportscenter,youtube,yup,nope
sportscenter,ladygaga,nope,nope
sportscenter,theellenshow,nope,nope
sportscenter,twitter,yup,nope
sportscenter,jtimberlake,yup,yup
sportscenter,britneyspears,nope,nope
sportscenter,selenagomez,nope,nope
sportscenter,cnnbrk,nope,nope
sportscenter,jimmyfallon,yup,yup
sportscenter,shakira,nope,nope
sportscenter,ddlovato,nope,nope
sportscenter,instagram,nope,nope
sportscenter,nytimes,nope,nope
sportscenter,onedirection,nope,nope
sportscenter,espn,yup,yup
sportscenter,wizkhalifa,yup,nope
sportscenter,kanyewest,nope,nope
sportscenter,neymarjr,yup,nope
sportscenter,narendramodi,nope,nope
sportscenter,danieltosh,nope,nope
sportscenter,aliciakeys,nope,nope
sportscenter,srbachchan,nope,nope
sportscenter,pitbull,nope,nope
sportscenter,khloekardashian,nope,nope
sportscenter,iamsrk,nope,nope
sportscenter,kourtneykardash,nope,nope
sportscenter,realmadrid,yup,nope
sportscenter,davidguetta,nope,nope
sportscenter,zaynmalik,nope,nope
sportscenter,aamir_khan,nope,nope
sportscenter,chrisbrown,nope,nope
sportscenter,blakeshelton,yup,nope
sportscenter,coldplay,nope,nope
sportscenter,realdonaldtrump,nope,nope
sportscenter,theeconomist,nope,nope
sportscenter,aplusk,nope,nope
sportscenter,vine,yup,nope
sportscenter,deepikapadukone,nope,nope
sportscenter,edsheeran,nope,nope
sportscenter,ricky_martin,nope,nope
sportscenter,shugairi,nope,nope
sportscenter,xtina,nope,nope
sportscenter,agnezmo,nope,nope
sportscenter,priyankachopra,nope,nope
sportscenter,twitterespanol,nope,nope
sportscenter,ihrithik,nope,nope
sportscenter,akshaykumar,nope,nope
sportscenter,ivetesangalo,nope,nope
cnn,katyperry,nope,nope
cnn,justinbieber,nope,nope
cnn,taylorswift13,nope,nope
cnn,rihanna,nope,nope
cnn,youtube,nope,yup
cnn,ladygaga,nope,yup
cnn,theellenshow,nope,yup
cnn,twitter,nope,nope
cnn,jtimberlake,nope,nope
cnn,britneyspears,nope,nope
cnn,kimkardashian,nope,nope
cnn,cristiano,nope,nope
cnn,selenagomez,nope,nope
cnn,cnnbrk,yup,yup
cnn,jimmyfallon,nope,yup
cnn,shakira,nope,nope
cnn,ddlovato,nope,nope
cnn,instagram,nope,nope
cnn,jlo,nope,nope
cnn,oprah,nope,nope
cnn,drake,nope,nope
cnn,kingjames,nope,nope
cnn,nytimes,nope,nope
cnn,kevinhart4real,nope,nope
cnn,onedirection,nope,nope
cnn,mileycyrus,nope,nope
cnn,sportscenter,nope,nope
cnn,espn,nope,nope
cnn,harry_styles,nope,nope
cnn,pink,nope,yup
cnn,liltunechi,nope,nope
cnn,wizkhalifa,nope,nope
cnn,niallofficial,nope,nope
cnn,kanyewest,nope,nope
cnn,neymarjr,nope,nope
cnn,kaka,nope,nope
cnn,narendramodi,nope,nope
cnn,danieltosh,nope,nope
cnn,aliciakeys,nope,nope
cnn,srbachchan,nope,yup
cnn,nba,nope,yup
cnn,liampayne,nope,nope
cnn,louis_tomlinson,nope,nope
cnn,emmawatson,nope,nope
cnn,pitbull,nope,nope
cnn,khloekardashian,nope,yup
cnn,iamsrk,nope,nope
cnn,conanobrien,yup,nope
cnn,kourtneykardash,nope,nope
cnn,realmadrid,nope,nope
cnn,davidguetta,nope,nope
cnn,nfl,nope,nope
cnn,eminem,nope,nope
cnn,nasa,nope,nope
cnn,nickiminaj,nope,nope
cnn,kendalljenner,nope,nope
cnn,zaynmalik,nope,nope
cnn,aamir_khan,nope,nope
cnn,fcbarcelona,nope,nope
cnn,kyliejenner,nope,nope
cnn,chrisbrown,nope,nope
cnn,blakeshelton,nope,nope
cnn,coldplay,nope,nope
cnn,realdonaldtrump,nope,nope
cnn,theeconomist,nope,yup
cnn,aplusk,nope,yup
cnn,mariahcarey,nope,nope
cnn,vine,yup,nope
cnn,deepikapadukone,nope,yup
cnn,leodicaprio,nope,nope
cnn,google,nope,nope
cnn,edsheeran,nope,nope
cnn,mohamadalarefe,nope,nope
cnn,ricky_martin,nope,nope
cnn,shugairi,nope,nope
cnn,xtina,nope,nope
cnn,agnezmo,nope,nope
cnn,reuters,nope,yup
cnn,priyankachopra,nope,nope
cnn,twitterespanol,nope,nope
cnn,ihrithik,nope,nope
cnn,akshaykumar,nope,nope
cnn,jimcarrey,nope,nope
cnn,kdtrey5,nope,nope
cnn,ryanseacrest,nope,nope
cnn,ivetesangalo,nope,nope
cnn,pmoindia,nope,nope
cnn,snoopdogg,nope,nope
espn,katyperry,nope,nope
espn,justinbieber,nope,yup
espn,taylorswift13,nope,nope
espn,rihanna,nope,nope
espn,ladygaga,nope,nope
espn,twitter,nope,nope
espn,jtimberlake,nope,yup
espn,selenagomez,nope,nope
espn,jimmyfallon,nope,yup
espn,shakira,nope,nope
espn,instagram,nope,nope
espn,nytimes,nope,nope
espn,onedirection,nope,nope
espn,wizkhalifa,nope,nope
espn,kanyewest,nope,nope
espn,neymarjr,nope,nope
espn,narendramodi,nope,nope
espn,pitbull,nope,yup
espn,khloekardashian,nope,nope
espn,iamsrk,nope,nope
espn,kourtneykardash,nope,nope
espn,realmadrid,nope,nope
espn,zaynmalik,nope,nope
espn,realdonaldtrump,nope,nope
espn,vine,nope,nope
espn,ricky_martin,nope,nope
espn,shugairi,nope,nope
espn,xtina,nope,nope
espn,priyankachopra,nope,nope
espn,ihrithik,nope,nope
espn,ivetesangalo,nope,nope
harry_styles,katyperry,yup,nope
harry_styles,justinbieber,yup,yup
harry_styles,taylorswift13,yup,nope
harry_styles,rihanna,yup,nope
harry_styles,youtube,nope,yup
harry_styles,ladygaga,yup,nope
harry_styles,theellenshow,nope,yup
harry_styles,twitter,nope,nope
harry_styles,jtimberlake,nope,nope
harry_styles,britneyspears,nope,yup
harry_styles,kimkardashian,nope,nope
harry_styles,selenagomez,nope,nope
harry_styles,cnnbrk,nope,nope
harry_styles,jimmyfallon,yup,yup
harry_styles,shakira,nope,nope
harry_styles,ddlovato,yup,yup
harry_styles,instagram,yup,nope
harry_styles,jlo,nope,yup
harry_styles,oprah,yup,nope
harry_styles,kingjames,nope,nope
harry_styles,nytimes,nope,nope
harry_styles,kevinhart4real,yup,nope
harry_styles,onedirection,yup,yup
harry_styles,mileycyrus,nope,nope
harry_styles,sportscenter,nope,nope
harry_styles,espn,nope,nope
harry_styles,pink,yup,nope
harry_styles,liltunechi,nope,nope
harry_styles,wizkhalifa,nope,nope
harry_styles,niallofficial,yup,yup
harry_styles,kanyewest,yup,nope
harry_styles,neymarjr,nope,nope
harry_styles,kaka,nope,nope
harry_styles,narendramodi,nope,nope
harry_styles,danieltosh,nope,nope
harry_styles,aliciakeys,nope,nope
harry_styles,srbachchan,nope,nope
harry_styles,nba,nope,nope
harry_styles,liampayne,yup,yup
harry_styles,louis_tomlinson,yup,yup
harry_styles,pitbull,nope,nope
harry_styles,khloekardashian,yup,nope
harry_styles,iamsrk,nope,nope
harry_styles,kourtneykardash,nope,nope
harry_styles,realmadrid,nope,nope
harry_styles,davidguetta,nope,nope
harry_styles,nfl,yup,yup
harry_styles,nasa,nope,nope
harry_styles,nickiminaj,nope,nope
harry_styles,kendalljenner,yup,yup
harry_styles,zaynmalik,yup,yup
harry_styles,aamir_khan,nope,nope
harry_styles,kyliejenner,nope,nope
harry_styles,chrisbrown,nope,nope
harry_styles,blakeshelton,nope,nope
harry_styles,coldplay,yup,nope
harry_styles,realdonaldtrump,nope,nope
harry_styles,theeconomist,nope,nope
harry_styles,aplusk,yup,nope
harry_styles,mariahcarey,nope,nope
harry_styles,vine,nope,nope
harry_styles,deepikapadukone,nope,nope
harry_styles,leodicaprio,nope,nope
harry_styles,edsheeran,yup,yup
harry_styles,mohamadalarefe,nope,nope
harry_styles,ricky_martin,nope,nope
harry_styles,shugairi,nope,nope
harry_styles,xtina,nope,nope
harry_styles,agnezmo,yup,yup
harry_styles,reuters,nope,nope
harry_styles,priyankachopra,nope,nope
harry_styles,twitterespanol,nope,nope
harry_styles,ihrithik,nope,nope
harry_styles,akshaykumar,nope,nope
harry_styles,jimcarrey,nope,nope
harry_styles,kdtrey5,nope,nope
harry_styles,ryanseacrest,yup,yup
harry_styles,ivetesangalo,nope,nope
harry_styles,pmoindia,nope,nope
harry_styles,snoopdogg,nope,nope
pink,katyperry,yup,yup
pink,justinbieber,nope,yup
pink,taylorswift13,nope,nope
pink,rihanna,nope,nope
pink,youtube,nope,yup
pink,ladygaga,yup,nope
pink,theellenshow,yup,yup
pink,twitter,nope,nope
pink,jtimberlake,nope,nope
pink,britneyspears,nope,nope
pink,selenagomez,nope,nope
pink,cnnbrk,yup,nope
pink,jimmyfallon,nope,yup
pink,shakira,nope,nope
pink,ddlovato,nope,nope
pink,instagram,nope,nope
pink,nytimes,yup,nope
pink,onedirection,nope,nope
pink,sportscenter,nope,nope
pink,espn,nope,nope
pink,wizkhalifa,nope,nope
pink,kanyewest,nope,nope
pink,neymarjr,nope,nope
pink,narendramodi,nope,nope
pink,danieltosh,nope,nope
pink,aliciakeys,yup,nope
pink,srbachchan,nope,nope
pink,pitbull,nope,yup
pink,khloekardashian,nope,nope
pink,iamsrk,nope,nope
pink,kourtneykardash,nope,nope
pink,realmadrid,nope,nope
pink,davidguetta,nope,nope
pink,zaynmalik,nope,yup
pink,aamir_khan,nope,nope
pink,chrisbrown,nope,nope
pink,blakeshelton,nope,nope
pink,coldplay,nope,nope
pink,realdonaldtrump,nope,nope
pink,theeconomist,nope,nope
pink,aplusk,nope,nope
pink,vine,nope,nope
pink,deepikapadukone,nope,nope
pink,edsheeran,nope,nope
pink,ricky_martin,nope,nope
pink,shugairi,nope,nope
pink,xtina,nope,nope
pink,agnezmo,nope,yup
pink,reuters,nope,nope
pink,priyankachopra,nope,nope
pink,twitterespanol,nope,nope
pink,ihrithik,nope,nope
pink,akshaykumar,nope,nope
pink,ryanseacrest,nope,yup
pink,ivetesangalo,nope,nope
pink,snoopdogg,nope,yup
liltunechi,katyperry,nope,nope
liltunechi,justinbieber,nope,nope
liltunechi,taylorswift13,nope,nope
liltunechi,rihanna,nope,nope
liltunechi,youtube,nope,nope
liltunechi,ladygaga,nope,nope
liltunechi,theellenshow,nope,yup
liltunechi,twitter,nope,nope
liltunechi,jtimberlake,nope,nope
liltunechi,britneyspears,nope,yup
liltunechi,selenagomez,nope,nope
liltunechi,cnnbrk,nope,nope
liltunechi,jimmyfallon,nope,yup
liltunechi,shakira,nope,nope
liltunechi,ddlovato,nope,yup
liltunechi,instagram,nope,nope
liltunechi,oprah,nope,nope
liltunechi,nytimes,nope,nope
liltunechi,onedirection,nope,nope
liltunechi,mileycyrus,nope,yup
liltunechi,sportscenter,nope,nope
liltunechi,espn,nope,nope
liltunechi,pink,nope,nope
liltunechi,wizkhalifa,nope,yup
liltunechi,niallofficial,nope,nope
liltunechi,kanyewest,nope,nope
liltunechi,neymarjr,nope,nope
liltunechi,narendramodi,nope,nope
liltunechi,danieltosh,nope,nope
liltunechi,aliciakeys,nope,nope
liltunechi,srbachchan,nope,yup
