Field1,Field2,nope,Field4
barackobama,jimmyfallon,nope,yup
barackobama,shakira,nope,yup
barackobama,ddlovato,nope,yup
barackobama,instagram,nope,nope
barackobama,jlo,nope,nope
barackobama,oprah,nope,nope
barackobama,drake,nope,yup
barackobama,kingjames,nope,nope
barackobama,billgates,nope,yup
barackobama,nytimes,nope,nope
barackobama,kevinhart4real,yup,yup
barackobama,onedirection,nope,nope
barackobama,mileycyrus,nope,nope
barackobama,sportscenter,nope,nope
barackobama,cnn,nope,nope
barackobama,espn,nope,nope
barackobama,harry_styles,nope,nope
barackobama,pink,nope,nope
barackobama,liltunechi,nope,nope
barackobama,wizkhalifa,nope,nope
barackobama,niallofficial,nope,yup
barackobama,brunomars,nope,nope
barackobama,kanyewest,nope,nope
barackobama,neymarjr,nope,nope
barackobama,kaka,nope,yup
barackobama,narendramodi,nope,yup
barackobama,danieltosh,nope,yup
barackobama,aliciakeys,yup,yup
barackobama,srbachchan,nope,yup
barackobama,nba,nope,yup
barackobama,liampayne,nope,nope
barackobama,louis_tomlinson,nope,nope
barackobama,emmawatson,nope,yup
barackobama,pitbull,nope,yup
barackobama,khloekardashian,nope,yup
barackobama,iamsrk,nope,nope
barackobama,conanobrien,nope,nope
barackobama,kourtneykardash,nope,nope
barackobama,realmadrid,nope,nope
barackobama,davidguetta,nope,yup
barackobama,beingsalmankhan,nope,nope
barackobama,nfl,nope,yup
barackobama,eminem,nope,nope
barackobama,nasa,nope,nope
barackobama,nickiminaj,nope,yup
barackobama,kendalljenner,nope,nope
barackobama,zaynmalik,nope,yup
barackobama,aamir_khan,nope,nope
barackobama,fcbarcelona,nope,nope
barackobama,kyliejenner,nope,nope
barackobama,chrisbrown,nope,nope
barackobama,blakeshelton,nope,nope
barackobama,coldplay,nope,nope
barackobama,realdonaldtrump,nope,nope
barackobama,theeconomist,yup,nope
barackobama,aplusk,nope,yup
barackobama,mariahcarey,yup,yup
barackobama,vine,nope,nope
barackobama,deepikapadukone,nope,nope
barackobama,leodicaprio,nope,yup
barackobama,google,nope,nope
barackobama,edsheeran,nope,nope
barackobama,mohamadalarefe,nope,nope
barackobama,ricky_martin,nope,yup
barackobama,shugairi,nope,yup
barackobama,xtina,nope,nope
barackobama,agnezmo,nope,yup
barackobama,reuters,nope,nope
barackobama,priyankachopra,nope,nope
barackobama,twitterespanol,nope,nope
barackobama,ihrithik,nope,nope
barackobama,akshaykumar,nope,nope
barackobama,jimcarrey,nope,nope
barackobama,kdtrey5,nope,nope
barackobama,ryanseacrest,yup,yup
barackobama,ivetesangalo,nope,nope
barackobama,pmoindia,nope,nope
barackobama,snoopdogg,yup,yup
rihanna,taylorswift13,nope,nope
rihanna,twitter,nope,nope
rihanna,selenagomez,nope,yup
rihanna,shakira,yup,yup
rihanna,wizkhalifa,yup,yup
rihanna,zaynmalik,nope,nope
rihanna,vine,nope,nope
rihanna,shugairi,nope,nope
rihanna,xtina,nope,nope
youtube,katyperry,yup,nope
youtube,justinbieber,yup,yup
youtube,taylorswift13,yup,nope
youtube,rihanna,yup,nope
youtube,ladygaga,yup,yup
youtube,twitter,yup,nope
youtube,jtimberlake,yup,nope
youtube,britneyspears,nope,yup
youtube,selenagomez,yup,nope
youtube,cnnbrk,nope,nope
youtube,jimmyfallon,yup,yup
youtube,shakira,yup,nope
youtube,ddlovato,nope,nope
youtube,instagram,yup,nope
youtube,nytimes,yup,nope
youtube,onedirection,yup,nope
youtube,espn,nope,nope
youtube,wizkhalifa,nope,nope
youtube,kanyewest,nope,nope
youtube,neymarjr,yup,nope
youtube,narendramodi,nope,nope
youtube,danieltosh,nope,nope
youtube,aliciakeys,nope,nope
youtube,pitbull,nope,yup
youtube,khloekardashian,yup,nope
youtube,iamsrk,nope,nope
youtube,kourtneykardash,nope,nope
youtube,realmadrid,nope,nope
youtube,davidguetta,nope,yup
youtube,zaynmalik,yup,nope
youtube,aamir_khan,nope,nope
youtube,chrisbrown,nope,nope
youtube,blakeshelton,nope,nope
youtube,coldplay,yup,nope
youtube,realdonaldtrump,nope,nope
youtube,aplusk,yup,nope
youtube,vine,nope,nope
youtube,deepikapadukone,nope,nope
youtube,edsheeran,yup,nope
youtube,ricky_martin,yup,yup
youtube,shugairi,nope,yup
youtube,xtina,nope,nope
youtube,agnezmo,nope,yup
youtube,priyankachopra,nope,nope
youtube,ihrithik,nope,nope
youtube,akshaykumar,nope,nope
youtube,ivetesangalo,nope,yup
